	atomic_number	symbol	mass_number	Relative Atomic Mass	Isotopic  Composition	Standard Atomic Weight	Standard Isotope	delta neutrons
111	41.0	Nb	93.0	92.90637302	1.0	['92.906372']	True	0.0
112	42.0	Mo	92.0	91.9068079684	0.14533	['95.951']	False	-4.0
113	42.0	Mo	94.0	93.9050849048	0.09159		False	-2.0
114	42.0	Mo	95.0	94.9058387747	0.158411		False	-1.0
115	42.0	Mo	96.0	95.9046761247	0.166715		True	0.0
116	42.0	Mo	97.0	96.9060181249	0.096014		False	1.0
117	42.0	Mo	98.0	97.9054048249	0.243937		False	2.0
118	42.0	Mo	100.0	99.907471811	0.098231		False	4.0
119	44.0	Ru	96.0	95.9075902549	0.055414	['101.072']	False	-5.0
120	44.0	Ru	98.0	97.905286869	0.01873		False	-3.0
121	44.0	Ru	99.0	98.905934111	0.127614		False	-2.0
122	44.0	Ru	100.0	99.904214311	0.12607		False	-1.0
123	44.0	Ru	101.0	100.905576912	0.17062		True	0.0
124	44.0	Ru	102.0	101.904344112	0.315514		False	1.0
125	44.0	Ru	104.0	103.905427528	0.186227		False	3.0
126	45.0	Rh	103.0	102.905498026	1.0	['102.905502']	True	0.0
127	46.0	Pd	102.0	101.905602228	0.01021	['106.421']	False	-4.0
128	46.0	Pd	104.0	103.904030514	0.11148		False	-2.0
129	46.0	Pd	105.0	104.905079612	0.22338		False	-1.0
130	46.0	Pd	106.0	105.903480412	0.27333		True	0.0
131	46.0	Pd	108.0	107.903891612	0.26469		False	2.0
132	46.0	Pd	110.0	109.9051722075	0.11729		False	4.0
133	47.0	Ag	107.0	106.905091626	0.518398	['107.86822']	True	0.0
134	47.0	Ag	109.0	108.904755314	0.481618		False	2.0
135	48.0	Cd	106.0	105.906459912	0.01256	['112.4144']	False	-7.0
136	48.0	Cd	108.0	107.904183412	0.00893		False	-5.0
137	48.0	Cd	110.0	109.9030066161	0.124918		False	-3.0
138	48.0	Cd	111.0	110.9041828761	0.128012		False	-2.0
139	48.0	Cd	112.0	111.902762876	0.241321		False	-1.0
140	48.0	Cd	113.0	112.9044081345	0.122212		True	0.0
141	48.0	Cd	114.0	113.9033650943	0.287342		False	1.0
142	48.0	Cd	116.0	115.9047631517	0.074918		False	3.0
143	49.0	In	113.0	112.9040618491	0.04295	['114.8181']	False	-2.0
144	49.0	In	115.0	114.90387877612	0.95715		True	0.0
145	50.0	Sn	112.0	111.9048238761	0.00971	['118.7107']	False	-7.0
146	50.0	Sn	114.0	113.90278271	0.00661		False	-5.0
147	50.0	Sn	115.0	114.90334469916	0.00341		False	-4.0
148	50.0	Sn	116.0	115.901742801	0.14549		False	-3.0
149	50.0	Sn	117.0	116.9029539852	0.07687		False	-2.0
150	50.0	Sn	118.0	117.9016065754	0.24229		False	-1.0
151	50.0	Sn	119.0	118.9033111778	0.08594		True	0.0
152	50.0	Sn	120.0	119.9022016397	0.32589		False	1.0
153	50.0	Sn	122.0	121.903443826	0.04633		False	3.0
154	50.0	Sn	124.0	123.905276611	0.05795		False	5.0
155	51.0	Sb	121.0	120.90381203	0.57215	['121.7601']	True	0.0
156	51.0	Sb	123.0	122.904213223	0.42795		False	2.0
157	52.0	Te	120.0	119.904059333	0.00091	['127.603']	False	-8.0
158	52.0	Te	122.0	121.903043516	0.025512		False	-6.0
159	52.0	Te	123.0	122.904269816	0.00893		False	-5.0
160	52.0	Te	124.0	123.902817116	0.047414		False	-4.0
161	52.0	Te	125.0	124.904429916	0.070715		False	-3.0
162	52.0	Te	126.0	125.903310916	0.188425		False	-2.0
163	52.0	Te	128.0	127.9044612893	0.31748		True	0.0
164	52.0	Te	130.0	129.90622274812	0.340862		False	2.0
165	53.0	I	127.0	126.904471939	1.0	['126.904473']	True	0.0
166	54.0	Xe	124.0	123.905892019	0.0009523	['131.2936']	False	-7.0
167	54.0	Xe	126.0	125.904298338	0.0008902		False	-5.0
168	54.0	Xe	128.0	127.903531011	0.0191028		False	-3.0
169	54.0	Xe	129.0	128.90478086116	0.26400682		False	-2.0
170	54.0	Xe	130.0	129.9035093491	0.04071013		False	-1.0
171	54.0	Xe	131.0	130.9050840624	0.2123243		True	0.0
172	54.0	Xe	132.0	131.904155085656	0.26908633		False	1.0
173	54.0	Xe	134.0	133.905394669	0.10435721		False	3.0
174	54.0	Xe	136.0	135.90721448411	0.08857344		False	5.0
175	55.0	Cs	133.0	132.90545196108	1.0	['132.905451966']	True	0.0
176	56.0	Ba	130.0	129.906320728	0.001061	['137.3277']	False	-7.0
177	56.0	Ba	132.0	131.905061111	0.001011		False	-5.0
178	56.0	Ba	134.0	133.904508183	0.0241718		False	-3.0
179	56.0	Ba	135.0	134.9056883829	0.0659212		False	-2.0
180	56.0	Ba	136.0	135.9045757329	0.0785424		False	-1.0
181	56.0	Ba	137.0	136.905827143	0.1123224		True	0.0
182	56.0	Ba	138.0	137.9052470031	0.7169842		False	1.0
183	57.0	La	138.0	137.907114937	0.000888171	['138.905477']	False	-1.0
184	57.0	La	139.0	138.906356324	0.999111971		True	0.0
185	58.0	Ce	136.0	135.9071292141	0.001852	['140.1161']	False	-4.0
186	58.0	Ce	138.0	137.90599111	0.002512		False	-2.0
187	58.0	Ce	140.0	139.905443123	0.8845051		True	0.0
188	58.0	Ce	142.0	141.909250429	0.1111451		False	2.0
189	59.0	Pr	141.0	140.907657623	1.0	['140.907662']	True	0.0
190	60.0	Nd	142.0	141.90772902	0.271524	['144.2423']	False	-2.0
191	60.0	Nd	143.0	142.90982002	0.1217426		False	-1.0
192	60.0	Nd	144.0	143.91009302	0.2379819		True	0.0
193	60.0	Nd	145.0	144.91257932	0.0829312		False	1.0
194	60.0	Nd	146.0	145.91312262	0.1718932		False	2.0
195	60.0	Nd	148.0	147.916899326	0.0575621		False	4.0
196	60.0	Nd	150.0	149.920902218	0.0563828		False	6.0
